date;amount;description;sub_category_id;account_id;financial_flow_id
23/07/2022;19;Anniversaire Vince - BD Hellfest;48;1;2
23/07/2022;39.5;Anniversaire Vince - Vins;48;1;2
24/07/2022;18.7;La cascade;26;1;2
25/07/2022;50;1 caisse de Quincy;46;1;2
26/07/2022;11;Mouzillon <=> Angers;141;1;2
26/07/2022;184.97;Boulanger - Thermostat + prise connect?e;73;1;2
27/07/2022;13.08;Hyper U - Vallet;9;1;2
28/07/2022;27;Poubelles;23;1;2
29/07/2022;42;La cascade - Burgers;9;1;2
31/07/2022;26.04;Coccimarket;9;1;2
01/08/2022;8.39;CA Protection Juridique;68;1;2
01/08/2022;44.43;CA Assurance auto - Peugeot 2008;71;1;2
01/08/2022;1378.83;Pose bo?tier Bio?thanol - Peugeot 2008;78;1;2
02/08/2022;35.97;Orange - Internet;106;1;2
02/08/2022;26.99;Orange - OCS + Netflix;75;1;2
02/08/2022;11;Mouzillon <=> Angers;141;1;2
02/08/2022;166;Leroy Merlin;6;1;2
02/08/2022;734.74;Mat?riel.net - NAS + DD;74;1;2
02/08/2022;5.99;Amazon Prime;75;1;2
