date;montant;description;sub_category_id;financial_flow_id
30/04/2025;657,65 €;Elly - MAM;MAM;2
30/04/2025;3,60 €;Boulangerie;Alimentation;2
30/04/2025;61,29 €;La Ferme de Chez Nous;Alimentation;2
02/05/2025;51,80 €;Peugeot 2008;Assurance voiture;2
05/05/2025;64,42 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
05/05/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
06/05/2025;17,00 €;La revue dessinnés;Courses;2
06/05/2025;2,40 €;Boulangerie;Alimentation;2
07/05/2025;6,98 €;Elly - Top Assmat;MAM;2
07/05/2025;36,56 €;Chlorophyle;Alimentation;2
09/05/2025;98,95 €;MAM - Eloise - Avril;MAM;2
09/05/2025;19,38 €;Polo;Carburant;2
09/05/2025;5,00 €;L'Odyssée - Carte de voeux;Courses;2
09/05/2025;28,89 €;Peugeot 2008;Carburant;2
09/05/2025;37,90 €;Bières - Mariage Vince et Natacha;Courses;2
10/05/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/05/2025;277,58 €;PTZ (9 993€);PTZ;2
12/05/2025;14,00 €;Atlantic'Eau ;Eau;2
13/05/2025;25,39 €;Peugeot 2008;Carburant;2
15/05/2025;103,91 €;Super U;Alimentation;2
16/05/2025;20,05 €;Jardins de la Sanguèze;Alimentation;2
16/05/2025;62,00 €;Taxe habitation;Taxe foncière;2
18/05/2025;18,10 €;Boulangerie;Alimentation;2
23/05/2025;7,00 €;McDo;Restaurant/brasserie;2
24/05/2025;18,93 €;Leclerc;Alimentation;2
24/05/2025;53,45 €;Hyper U;Alimentation;2
25/05/2025;28,89 €;Peugeot 2008;Carburant;2
27/05/2025;136,00 €;EDF;Électricité;2
27/05/2025;39,20 €;Burgers;Restaurant/brasserie;2
27/05/2025;22,90 €;Pharmacie;Courses;2
28/05/2025;419,12 €;Elly - MAM;MAM;2
01/06/2025;51,80 €;Peugeot 2008;Assurance voiture;2
03/06/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
03/06/2025;27,59 €;Pharmacie;Courses;2
03/06/2025;22,51 €;Peugeot 2008;Carburant;2
05/06/2025;64,42 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
05/06/2025;16,14 €;Jardins de la Sangèze;Courses;2
06/06/2025;97,24 €;Peinture extérieure;Courses;2
07/06/2025;1,00 €;Elly - Top Assmat;MAM;2
07/06/2025;25,48 €;Filtres aspirateur;Courses;2
08/06/2025;25,56 €;Peugeot 2008;Carburant;2
09/06/2025;10,00 €;Crêpes;Courses;2
09/06/2025;10,50 €;Villa Margareth;Courses;2
10/06/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/06/2025;14,00 €;Atlantic'Eau ;Eau;2
10/06/2025;277,58 €;PTZ (9 993€);PTZ;2
11/06/2025;11,15 €;Carrefour Clisson;Courses;2
11/06/2025;51,53 €;Biocoop;Courses;2
11/06/2025;24,57 €;Polo;Carburant;2
17/06/2025;62,00 €;Taxe habitation;Taxe foncière;2
17/06/2025;60,75 €;Hyper U Vallet;Courses;2
18/06/2025;22,51 €;Peugeot 2008;Carburant;2
23/06/2025;27,14 €;Peugeot 2008;Carburant;2
25/06/2025;51,45 €;Olio & Burro;Courses;2
27/06/2025;526,08 €;Elly - MAM;MAM;2
27/06/2025;62,83 €;Drive Leclerc;Courses;2
27/06/2025;2,30 €;Boulangerie;Courses;2
28/06/2025;3,71 €;Pharmacie;Courses;2
28/06/2025;22,86 €;Poulet rôti - Clisson;Courses;2
28/06/2025;10,38 €;Chlorophyle;Courses;2
28/06/2025;12,00 €;Olio et Buro;Courses;2
29/06/2025;31,65 €;La Foire Fouille;Courses;2
29/06/2025;33,00 €;Sandales Elly;Courses;2
01/07/2025;51,80 €;Peugeot 2008;Assurance voiture;2
01/07/2025;10,30 €; Terre Ferme;Courses;2
01/07/2025;96,00 €;Fruits été - Terre Ferme;Courses;2
01/07/2025;35,00 €;Cadeau Manon;Courses;2
01/07/2025;16,00 €;Billets tombola Colin et Cassisa;Courses;2
01/07/2025;35,00 €;La Ferme de Chez Nous;Courses;2
01/07/2025;45,40 €;Super U;Courses;2
01/07/2025;150,00 €;Table de jardin - Jardiland;Courses;2
02/07/2025;27,95 €;Gemo;Courses;2
02/07/2025;27,17 €;Peugeot 20028;Carburant;2
02/07/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
03/07/2025;13,50 €;Epices Clisson;Courses;2
03/07/2025;21,50 €;Peugeot 2008;Carburant;2
06/07/2025;39,00 €;Marché Plessé;Courses;2
07/07/2025;64,42 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
07/07/2025;6,98 €;Elly - Top Assmat;MAM;2
10/07/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/07/2025;277,58 €;PTZ (9 993€);PTZ;2
11/07/2025;14,00 €;Atlantic'Eau ;Eau;2
11/07/2025;72,55 €;Hyper U;Courses;2
12/07/2025;31,13 €;Peugeot 2008;Carburant;2
13/07/2025;2,90 €;Market Larmor Plage;Courses;2
13/07/2025;10,00 €;LarmorPlage - Manège;Courses;2
16/07/2025;62,00 €;Taxe habitation;Taxe foncière;2
16/07/2025;27,50 €;Crepes Mouzillon;Courses;2
16/07/2025;27,00 €;La Ferme de Chez Nous;Courses;2
18/07/2025;4,20 €;Recyclerie;Courses;2
18/07/2025;53,43 €;Hyper U;Courses;2
18/07/2025;18,30 €;Gamm Vert;Courses;2
25/07/2025;26,61 €;Polo;Carburant;2
25/07/2025;72,20 €;Quebreizh;Courses;2
28/07/2025;131,69 €;EDF;Électricité;2
28/07/2025;13,04 €;IKEA;Courses;2
29/07/2025;542,08 €;Elly - MAM;MAM;2
29/07/2025;13,15 €;Boulangerie;Courses;2
29/07/2025;28,75 €;La Ferme de Chez Nous;Courses;2
01/08/2025;51,80 €;Peugeot 2008;Assurance voiture;2
04/08/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
05/08/2025;50,00 €;Anniversaire Pauline;Courses;2
05/08/2025;50,00 €;Réparation Peugeot 2008;Courses;2
05/08/2025;41,82 €;Biocoop;Courses;2
05/08/2025;19,70 €;Cadeau MAM;Courses;2
05/08/2025;11,50 €;Radio Poulette - Tomates / fraises;Courses;2
05/08/2025;63,71 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
06/08/2025;17,00 €;La revue dessinnés;Courses;2
06/08/2025;13,70 €;Win&Wok;Courses;2
06/08/2025;8,00 €;La Ferme de Chez Nous;Courses;2
07/08/2025;6,98 €;Elly - Top Assmat;MAM;2
09/08/2025;23,48 €;Leclerc;Carburant;2
10/08/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/08/2025;277,58 €;PTZ (9 993€);PTZ;2
11/08/2025;14,00 €;Atlantic'Eau ;Eau;2
11/08/2025;41,00 €;leclerc;Courses;2
11/08/2025;40,00 €;credit mutuel;Courses;2
12/08/2025;3,60 €;Villa Margareth;Courses;2
14/08/2025;74,58 €;Redevance ordures ménagères;Taxe ordures ménagères;2
15/08/2025;30,00 €;La Villa;Courses;2
16/08/2025;10,40 €;La Villa;Courses;2
16/08/2025;48,42 €;Biocoop;Courses;2
17/08/2025;25,00 €;Bateau électrique;Courses;2
18/08/2025;27,00 €;Villa;Courses;2
18/08/2025;15,40 €;Villa;Courses;2
19/08/2025;62,00 €;Taxe habitation;Taxe foncière;2
19/08/2025;18,65 €;Biocoop;Courses;2
19/08/2025;24,15 €;Peugeot 2008;Carburant;2
